"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","correct","standardized_response","num_attention_checks_correct"
"dot matrix survey1","survey","15","53062","0.0-15.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","25640","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":0,""safe"":1,""walkable"":0,""traditional"":1,""diverse"":1}}","","","","","","0","[]","","","","",""
"dot matrix survey2","survey","16","74673","0.0-16.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","21600","","{""P0_Q0"":null,""P0_Q1"":{""violence"":3,""crime"":3,""drug"":4,""schools"":0,""opportunities"":0}}","","","","","","0","[]","","","","",""
"dot matrix survey3","survey","17","89841","0.0-17.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","15152","","{""P0_Q0"":null,""P0_Q1"":{""movein"":0,""moveout"":3,""shopping"":0,""walk"":1,""park"":1,""school"":1}}","","","","","","0","[]","","","","",""
"sliderTrial_attention","html-slider-response","18","99861","0.0-18.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","null","","","","","","0","","4","[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]","true","",""
"sliderTrial","html-slider-response","19","113181","0.0-19.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","13317","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","5","","","","","","0","","4","[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]","","3",""
"sliderTrial","html-slider-response","20","120541","0.0-20.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","7358","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","3","","","","","","0","","4","[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]","","3",""
"sliderTrial","html-slider-response","21","126397","0.0-21.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","5855","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","5","","","","","","0","","4","[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]","","3",""
"sliderTrial","html-slider-response","22","130789","0.0-22.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","4392","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","2","","","","","","0","","4","[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]","","2",""
"sliderTrial","html-slider-response","23","135357","0.0-23.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","4566","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","3","","","","","","0","","4","[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]","","3",""
"before_SVSlide_prompt","html-button-response","24","136797","0.0-24.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","1438","Click [Next] to see the next neighborhood!","0","","","","","","","","","","","",""
"street view slide show","image-button-response","25","137806","0.0-25.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_0_982.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","26","138819","0.0-26.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_12_982.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","27","139830","0.0-27.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_10_982.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","28","140856","0.0-28.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_7_982.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","29","141866","0.0-29.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_14_982.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","30","142877","0.0-30.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_13_982.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","31","143889","0.0-31.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_8_982.jpg","null","","","","","","2","","","","","",""
"street view slide show","image-button-response","32","144903","0.0-32.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_982/IMG_2_982.jpg","null","","","","","","2","","","","","",""
"dot matrix survey1","survey","33","165061","0.0-33.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","20115","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":2,""safe"":3,""walkable"":4,""traditional"":3,""diverse"":1}}","","","","","","2","[]","","","","",""
"dot matrix survey2","survey","34","178635","0.0-34.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","13564","","{""P0_Q0"":null,""P0_Q1"":{""violence"":0,""crime"":1,""drug"":1,""schools"":3,""opportunities"":2}}","","","","","","2","[]","","","","",""
"dot matrix survey3","survey","35","195993","0.0-35.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","17348","","{""P0_Q0"":null,""P0_Q1"":{""movein"":2,""moveout"":1,""shopping"":1,""walk"":3,""park"":3,""school"":3}}","","","","","","2","[]","","","","",""
"sliderTrial","html-slider-response","36","201661","0.0-36.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","5666","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","6","","","","","","2","","4","[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]","","2",""
"sliderTrial","html-slider-response","37","206509","0.0-37.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","4846","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","1","","","","","","2","","4","[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]","","1",""
"sliderTrial","html-slider-response","38","210109","0.0-38.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","3598","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]","","5",""
"sliderTrial","html-slider-response","39","215141","0.0-39.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","5030","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]","","3",""
"sliderTrial","html-slider-response","40","218405","0.0-40.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","3264","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","5","","","","","","2","","4","[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]","","3",""
"before_SVSlide_prompt","html-button-response","41","219621","0.0-41.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","1216","Click [Next] to see the next neighborhood!","0","","","","","","","","","","","",""
"street view slide show","image-button-response","42","220628","0.0-42.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_5_1004.jpg","null","","","","","","1","","","","","",""
"street view slide show","image-button-response","43","221649","0.0-43.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_3_1004.jpg","null","","","","","","1","","","","","",""
"street view slide show","image-button-response","44","222662","0.0-44.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_0_1004.jpg","null","","","","","","1","","","","","",""
"street view slide show","image-button-response","45","223678","0.0-45.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_14_1004.jpg","null","","","","","","1","","","","","",""
"street view slide show","image-button-response","46","224690","0.0-46.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_6_1004.jpg","null","","","","","","1","","","","","",""
"street view slide show","image-button-response","47","225703","0.0-47.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_9_1004.jpg","null","","","","","","1","","","","","",""
"street view slide show","image-button-response","48","226712","0.0-48.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_12_1004.jpg","null","","","","","","1","","","","","",""
"street view slide show","image-button-response","49","227735","0.0-49.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/MO_1004/IMG_1_1004.jpg","null","","","","","","1","","","","","",""
"dot matrix survey1","survey","50","244805","0.0-50.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","17022","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":1,""safe"":2,""walkable"":2,""traditional"":2,""diverse"":3}}","","","","","","1","[]","","","","",""
"dot matrix survey2","survey","51","262131","0.0-51.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","17315","","{""P0_Q0"":null,""P0_Q1"":{""violence"":2,""crime"":3,""drug"":2,""schools"":1,""opportunities"":1}}","","","","","","1","[]","","","","",""
"dot matrix survey3","survey","52","273645","0.0-52.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","11497","","{""P0_Q0"":null,""P0_Q1"":{""movein"":1,""moveout"":2,""shopping"":0,""walk"":1,""park"":1,""school"":1}}","","","","","","1","[]","","","","",""
"sliderTrial","html-slider-response","53","277126","0.0-53.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","3479","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","5","","","","","","1","","4","[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]","","5",""
"sliderTrial","html-slider-response","54","280269","0.0-54.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","3142","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","5","","","","","","1","","4","[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]","","5",""
"sliderTrial","html-slider-response","55","283053","0.0-55.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","2783","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","2","","","","","","1","","4","[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]","","2",""
"sliderTrial_attention","html-slider-response","56","293062","0.0-56.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","null","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","null","","","","","","1","","4","[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]","true","",""
"sliderTrial","html-slider-response","57","296565","0.0-57.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","3500","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","3","","","","","","1","","4","[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]","","3",""
"sliderTrial","html-slider-response","58","300165","0.0-58.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","","","3598","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","6","","","","","","1","","4","[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]","","2",""
